R_2Qs2XofMqVvQddA,Default Response Set,Anonymous,,,41.132.137.108,0,05/11/2014 20:01,05/11/2014 20:06,1,s4_239_1_31,1,2,4,24,1,1,,4,4,1,2,1,1,,,,,,,,,,1,,2,1,1,1,4,1,6,1,,2,,2,,3,,3,,3,,1,2,1,5,1,1,-34.03329468,18.48330688,-1
R_3jYEbcTrSCUqyX1,Default Response Set,Anonymous,,,105.225.236.25,0,10/11/2014 22:36,10/11/2014 22:39,1,s4_239_1_37,2,,4,21,1,1,,4,4,2,4,1,1,,,,,,,,,,2,<1,2,3,2,1,3,1,2,1,,1,,1,,4,,,,3,,1,1,1,5,2,1,-33.91670227,18.41670227,-1
R_3qqcNQGcGz94CTv,Default Response Set,Anonymous,,,105.228.158.249,0,20/11/2014 16:53,20/11/2014 16:55,1,s4_239_1_40,2,,4,18,1,1,,4,4,3,2,1,1,,,,,,,,,,1,,2,1,1,1,1,1,1,1,,2,,,,,,,,2,,1,1,2,5,1,1,-33.92579651,18.42320251,-1
R_1BKyfwOhzSDIPJ3,Default Response Set,Anonymous,,,197.229.20.91,0,29/10/2014 07:33,29/10/2014 07:37,1,s4_239_1_06,1,1,4,21,2,1,,4,3,3,4,,1,,,,,,,,,,1,,2,3,1,1,3,1,2,1,,1,,1,,4,,,,3,,1,1,1,6,1,1,-33.92579651,18.42320251,-1
R_a47HdlO0SCkrhbL,Default Response Set,Anonymous,,,93.186.16.211,0,04/12/2014 11:20,04/12/2014 11:23,1,s4_239_1_07,2,,4,20,2,1,,4,4,1,2,1,1,,,,,,,,,,2,>3months,2,1,1,1,2,1,1,1,,4,Half of the year at home; and the other half at res.,1,,,,,,3,,,,,,,,-29,24,-1
R_XZ1jIiyvWjh2S3f,Default Response Set,Anonymous,,,105.184.3.218,0,28/10/2014 17:41,28/10/2014 17:44,1,s4_239_1_09,1,2,4,24,2,1,,4,4,3,2,1,1,,,,,,,,,,1,,2,1,1,1,1,1,6,1,,2,,,,,,,,3,,1,1,1,6,1,1,-33.81669617,18.48330688,-1
R_5db2ZxL554jCwHr,Default Response Set,Anonymous,,,196.42.86.118,0,28/10/2014 15:41,28/10/2014 15:45,1,s4_239_1_10,1,1,4,21,2,1,,4,4,2,4,,1,,,,,,,,,,1,,1,3,1,1,3,1,2,1,,1,,1,,2,,,,3,,2,2,1,3,1,2,-33.92579651,18.42320251,-1
R_3iw1a5bQlN2slxW,Default Response Set,Anonymous,,,196.24.148.133,0,29/10/2014 11:00,29/10/2014 11:05,1,s4_239_1_13,1,1,4,20,2,1,,4,4,2,4,1,1,,1,,,,,,,,1,,1,3,2,1,2,1,5,1,,3,,4,My own flat,,,,,3,,1,1,2,4,1,2,-33.92579651,18.42320251,-1
R_8CwGzgwGhP4gVQF,Default Response Set,Anonymous,,,137.158.153.206,0,29/10/2014 11:19,29/10/2014 11:22,1,s4_239_1_14,1,2,4,20,2,1,,4,4,2,9,,1,,,,,,,,,,2,1,1,3,2,1,2,1,2,1,,1,,1,,,,,,4,,1,2,3,2,2,1,-33.92579651,18.42320251,-1
R_41uKpTZhHoOJvAp,Default Response Set,Anonymous,,,197.80.227.21,0,03/11/2014 09:12,03/11/2014 09:17,1,s4_239_1_15,1,3,3,20,2,1,,4,1,2,2,,1,,,,,,1,Spanish,,,2,4,2,1,1,1,1,1,1,1,,2,,,,,,,,3,,2,1,1,4,2,1,-29,24,-1
