R_2tlPgRZDc3smL3t,Default Response Set,Anonymous,,,196.42.104.76,0,28/10/2014 15:57,28/10/2014 16:06,1,s4_239_0_16,1,2,3,20,2,1,,1,4,1,9,,1,,,,,,,,,,2,4,1,3,2,1,2,1,6,1,,1,,1,,,,,,8,indie,3,2,1,3,1,1,-33.92579651,18.42320251,-1
R_2ttcALxQjp9J2wG,Default Response Set,Anonymous,,,197.229.167.60,0,19/11/2014 17:53,19/11/2014 17:56,1,s4_239_0_17,2,,4,20,2,1,,1,2,2,5,,1,1,,,,,,,,,1,,2,3,1,1,3,1,2,1,,1,,1,,2,,,,6,,4,1,1,1,1,1,-29.8578949,31.02920532,-1
R_5uUAIPhI7xkJ0wd,Default Response Set,Anonymous,,,196.42.68.222,0,03/11/2014 16:43,03/11/2014 16:51,1,s4_239_0_18,1,2,3,20,1,1,,1,4,3,4,1,1,,1,,,,,,,,1,,2,3,3,1,2,1,1,1,,1,,1,,,,,,4,,6,1,1,1,1,1,-33.92579651,18.42320251,-1
R_2TAdU8X30jrmf6s,Default Response Set,Anonymous,,,137.158.153.206,0,07/11/2014 21:35,07/11/2014 21:39,1,s4_239_0_19,1,2,2,22,1,1,,1,2,2,9,1,1,1,,,1,tswana; sotho,,,,,1,,2,3,3,1,4,1,2,1,,1,,1,,2,,2,,6,,6,1,1,1,1,1,-33.92579651,18.42320251,-1
R_3OXJbFze1bqsjCB,Default Response Set,Anonymous,,,196.42.64.37,0,28/10/2014 17:33,28/10/2014 17:38,1,s4_239_0_20,1,3,4,22,2,1,,1,1,3,8,,1,1,,,1,tshivenda,,,,,1,,2,3,3,1,4,1,2,1,,1,,1,,2,,4,,6,,6,1,1,1,1,1,-33.92579651,18.42320251,-1
R_5d1rshRMhnaQWoJ,Default Response Set,Anonymous,,,93.186.16.211,0,08/12/2014 11:34,08/12/2014 11:37,1,s4_239_0_21,2,,4,24,2,1,,1,1,3,9,,1,1,1,,1,setswana,,,,,1,,2,3,3,1,1,1,1,1,,1,,,,,,,,2,,,,,,,,-26.2052002,28.04980469,-1
R_2CuXK9i5mHhAJo9,Default Response Set,Anonymous,,,137.158.153.206,0,28/10/2014 22:15,28/10/2014 22:20,1,s4_239_0_22,1,3,3,24,1,1,,1,1,3,8,,1,,,,1,venda,,,,,1,,2,3,3,1,4,1,5,1,,1,,1,,2,,2,,6,,6,1,1,1,1,1,-33.92579651,18.42320251,-1
R_2430NNPhJXoGWP1,Default Response Set,Anonymous,,,137.158.153.206,0,29/10/2014 12:47,29/10/2014 12:51,1,s4_239_0_23,1,3,4,21,1,1,,1,2,3,9,,1,1,1,,,,,,,,1,,2,3,3,1,3,1,2,1,,1,,1,,2,,,,1,,4,2,2,1,1,1,-33.92579651,18.42320251,-1
R_1KiEVWlsnAL9nxu,Default Response Set,Anonymous,,,196.24.167.1,0,29/10/2014 09:59,29/10/2014 10:04,1,s4_239_0_24,1,1,3,21,2,1,,1,2,3,5,,1,1,1,,,,,,,,1,,2,3,3,1,4,1,1,1,,1,,1,,2,,2,,4,,5,2,1,1,1,1,-33.94250488,18.40899658,-1
R_1GNglDC8MNT63H3,Default Response Set,Anonymous,,,196.24.141.196,0,29/10/2014 16:22,29/10/2014 16:26,1,s4_239_0_25,1,2,4,20,2,1,,1,4,2,4,1,1,,1,,1,Sotho,,,,,1,,1,3,1,1,2,1,5,1,,1,,1,,,,,,4,,5,5,2,6,4,5,-33.92579651,18.42320251,-1
R_9WDrCrDotkSznsp,Default Response Set,Anonymous,,,196.24.134.2,0,03/11/2014 08:13,03/11/2014 08:16,1,s4_239_0_26,1,2,4,21,2,1,,1,2,1,4,1,1,,1,,,,,,,,1,,2,3,1,1,3,1,5,1,,1,,1,,2,,,,2,,6,2,1,1,1,2,-33.92579651,18.42320251,-1
R_d5NQVVjiO6E5Zhn,Default Response Set,Anonymous,,,196.42.80.57,0,28/10/2014 19:20,28/10/2014 19:25,1,s4_239_0_27,2,,3,18,1,1,,1,3,1,2,1,1,,1,,,,,,,,1,,2,2,1,1,1,1,2,1,,1,,,,,,,,1,,6,4,2,2,1,6,-33.92579651,18.42320251,-1
R_2Y3yrt9rq2m4jAp,Default Response Set,Anonymous,,,196.42.110.30,0,30/10/2014 21:02,30/10/2014 21:08,1,s4_239_0_28,1,3,3,23,1,1,,1,2,3,5,,1,1,1,,1,sotho,,,,,1,,2,3,2,1,4,1,5,1,,3,,3,,4,,4,,2,,6,1,1,1,1,1,-33.92579651,18.42320251,-1
R_2V7xES7luf42iqF,Default Response Set,Anonymous,,,137.158.153.206,0,28/10/2014 18:53,28/10/2014 18:56,1,s4_239_0_29,1,1,4,20,2,1,,1,2,3,4,,,,1,,,,,,,,1,,2,1,2,1,2,1,1,1,,1,,1,,,,,,6,,5,2,1,1,1,1,-33.92579651,18.42320251,-1
R_bjBL1puLxFeHuHX,Default Response Set,Anonymous,,,196.42.118.134,0,06/11/2014 04:37,06/11/2014 04:43,1,s4_239_0_30,2,,3,20,2,1,,1,2,3,5,1,1,1,1,,,,,,,,1,,1,3,3,1,2,1,6,1,,1,,1,,,,,,4,,5,2,1,1,1,1,-33.92579651,18.42320251,-1
R_1E3YIr9z99LBEnV,Default Response Set,Anonymous,,,137.158.153.205,0,28/10/2014 15:12,28/10/2014 15:19,1,s4_239_0_31,1,2,4,22,2,1,,1,4,3,9,,1,1,1,,1,Sesotho,,,,,1,,1,3,3,1,4,1,2,1,,1,,1,,2,,2,,6,,4,1,1,2,1,2,-33.92579651,18.42320251,-1
R_2VdVZk9vqGB4nkq,Default Response Set,Anonymous,,,41.13.224.136,0,27/11/2014 22:10,27/11/2014 22:14,1,s4_239_0_32,2,,3,19,2,1,,1,4,3,2,,1,,1,,1,Sotho,,,,,1,,2,1,1,1,1,1,1,1,,1,,,,,,,,5,,5,4,1,2,6,3,-33.92579651,18.42320251,-1
R_5yZDFC5PA8qqf77,Default Response Set,Anonymous,,,196.42.91.9,0,31/10/2014 17:29,31/10/2014 17:34,1,s4_239_0_33,1,3,3,22,2,1,,1,2,3,9,,1,1,1,,1,sepedi,,,,,1,,2,3,3,1,3,1,2,1,,1,,1,,2,,,,5,,6,1,1,1,1,1,-33.92579651,18.42320251,-1
R_vPFI67PJQS5tzzj,Default Response Set,Anonymous,,,196.24.186.97,0,06/11/2014 21:05,06/11/2014 21:09,1,s4_239_0_34,1,3,4,21,2,1,,1,1,3,3,,1,1,,,1,Ndebele,,,,,1,,2,3,3,1,3,1,2,1,,1,,1,,2,,,,5,,4,1,1,1,1,3,-33.98330688,18.3999939,-1
R_OxINClcT6CH7ayB,Default Response Set,Anonymous,,,196.24.179.164,0,28/10/2014 16:18,28/10/2014 16:22,1,s4_239_0_35,1,2,3,19,1,1,,1,2,3,7,,1,1,,,1,Sotho,,,,,2,3,1,3,2,1,2,1,1,1,,1,,1,,,,,,5,,5,4,1,5,2,3,-33.96670532,18.48330688,-1
R_1M1blalRLwZmz9H,Default Response Set,Anonymous,,,105.225.61.153,0,25/11/2014 22:10,25/11/2014 22:14,1,s4_239_0_36,2,,4,22,2,1,,1,4,2,9,,1,,,,,,,,,,2,10,1,3,1,1,3,1,1,1,,1,,1,,2,,,,2,,4,3,1,1,1,1,-26.2052002,28.04980469,-1
R_1ZCnwjW3khbSGxX,Default Response Set,Anonymous,,,196.24.172.90,0,07/11/2014 17:05,07/11/2014 17:09,1,s4_239_0_37,,,4,21,1,1,,1,2,1,9,1,1,1,1,,1,Sotho,,,,,1,,2,3,1,1,3,1,3,1,,1,,1,,4,,,,8,Chill Hop,4,1,1,3,1,1,-33.92579651,18.42320251,-1
R_1FihYDiiwNtzbuZ,Default Response Set,Anonymous,,,93.186.16.245,0,27/11/2014 06:12,27/11/2014 06:21,1,s4_239_0_38,1,2,4,19,2,1,,1,4,3,9,,1,,,,1,Tswana,,,,,1,,2,3,3,1,2,1,1,1,,1,,1,,,,,,2,,,,,,,,-29,24,-1
R_2rHGBn7adCZ02we,Default Response Set,Anonymous,,,137.158.153.205,0,01/11/2014 13:56,04/11/2014 08:40,1,s4_239_0_39,1,2,3,21,2,1,,1,2,3,8,,1,,,,,,,,,,1,,2,3,3,1,4,1,2,1,,1,,1,,1,,2,,4,,4,2,2,1,1,1,-33.92579651,18.42320251,-1
R_2f1mBzOrtpwYVeK,Default Response Set,Anonymous,,,196.24.134.170,0,29/10/2014 14:39,29/10/2014 14:43,1,s4_239_0_40,1,2,3,21,2,1,,1,3,3,9,,1,,,,1,Sotho,,,,,1,,2,3,2,1,3,1,2,1,,1,,1,,2,,,,6,,5,1,1,1,1,2,-33.92579651,18.42320251,-1
